Park Name,Category,count,Nativeness
Dry Tortugas National Park,Vascular Plant,106,Native
Dry Tortugas National Park,Vascular Plant,125,Not Native
Everglades National Park,Amphibian,14,Native
Everglades National Park,Amphibian,3,Not Native
Everglades National Park,Bird,282,Native
Everglades National Park,Bird,83,Not Native
Everglades National Park,Fish,314,Native
Everglades National Park,Fish,18,Not Native
Everglades National Park,Mammal,25,Native
Everglades National Park,Mammal,7,Not Native
Everglades National Park,Reptile,50,Native
Everglades National Park,Reptile,8,Not Native
Everglades National Park,Vascular Plant,778,Native
Everglades National Park,Vascular Plant,376,Not Native
Gates Of The Arctic National Park and Preserve,Bird,134,Native
Gates Of The Arctic National Park and Preserve,Fish,17,Native
Gates Of The Arctic National Park and Preserve,Mammal,38,Native
Gates Of The Arctic National Park and Preserve,Vascular Plant,681,Native
Glacier Bay National Park and Preserve,Amphibian,4,Native
Glacier Bay National Park and Preserve,Amphibian,1,Not Native
Glacier Bay National Park and Preserve,Bird,251,Native
Glacier Bay National Park and Preserve,Fish,328,Native
Glacier Bay National Park and Preserve,Fish,3,Not Native
Glacier Bay National Park and Preserve,Mammal,56,Native
Glacier Bay National Park and Preserve,Nonvascular Plant,1,Native
Glacier Bay National Park and Preserve,Reptile,1,Native
Glacier Bay National Park and Preserve,Vascular Plant,702,Native
Glacier Bay National Park and Preserve,Vascular Plant,67,Not Native
Glacier National Park,Amphibian,6,Native
Glacier National Park,Bird,272,Native
Glacier National Park,Bird,5,Not Native
Glacier National Park,Crab/Lobster/Shrimp,1,Native
Glacier National Park,Fish,21,Native
Glacier National Park,Fish,6,Not Native
Glacier National Park,Fungi,245,Native
Glacier National Park,Insect,40,Native
Glacier National Park,Mammal,65,Native
Glacier National Park,Mammal,1,Not Native
Glacier National Park,Nonvascular Plant,397,Native
Glacier National Park,Reptile,4,Native
Glacier National Park,Slug/Snail,15,Native
Glacier National Park,Slug/Snail,5,Not Native
Glacier National Park,Vascular Plant,1114,Native
Glacier National Park,Vascular Plant,142,Not Native
